	alpha_B1	alpha_B2	target_J_d
0	0.007847599703514606	0.01670276187734331	690.0
1	0.007847599703514606	0.027052985532362284	690.0
2	0.007847599703514606	0.04455273471425973	690.0
3	0.007847599703514606	0.05313882255354222	690.0
4	0.011288378916846883	0.02080808269256345	690.0
5	0.011288378916846883	0.04747738708600076	690.0
6	0.01623776739188721	0.024560290366105415	690.0
7	0.023357214690901212	0.02786084597835813	690.0
8	0.03359818286283781	0.03073973782350072	690.0
9	0.04832930238571752	0.03314098935672202	690.0
10	0.06951927961775606	0.03505685969995508	690.0
11	0.1	0.03658468160981062	690.0
